status,category,pref_type,location,preference_domain,key,value_type,value,notes
enabled,Trackpad,macOS,user,com.apple.AppleMultitouchTrackpad.plist,TrackpadRotate,bool,FALSE,Trackpad > Scroll & Zoom > Rotate
enabled,Trackpad,macOS,user,com.apple.AppleMultitouchTrackpad.plist,TrackpadTwoFingerDoubleTapGesture,bool,FALSE,Trackpad > Scroll & Zoom > Smart zoom
enabled,Trackpad,macOS,user,NSGlobalDomain,AppleEnableSwipeNavigateWithScrolls,bool,FALSE,Trackpad > More Gestures > Swipe between pages
enabled,Trackpad,macOS,user,com.apple.AppleMultitouchTrackpad.plist,TrackpadThreeFingerHorizSwipeGesture,int,2, Trackpad > More Gestures > Swipe between full-screen apps
enabled,Trackpad,macOS,user,com.apple.AppleMultitouchTrackpad.plist,TrackpadTwoFingerFromRightEdgeSwipeGesture,int,0, Trackpad > More Gestures > Notification Center
enabled,Trackpad,macOS,user,com.apple.dock,showMissionControlGestureEnabled,bool,TRUE,Trackpad > More Gestures > Mission Control
enabled,Trackpad,macOS,user,com.apple.dock,showAppExposeGestureEnabled,bool,TRUE, Trackpad > More Gestures > App Expose
enabled,Trackpad,macOS,user,com.apple.dock,showLaunchpadGestureEnabled,bool,TRUE,Trackpad > More Gestures > Launchpad
enabled,Trackpad,macOS,user,com.apple.dock,showDesktopGestureEnabled,bool,TRUE,Trackpad > More Gestures > Show Desktop
,,,,,,,,
enabled,Mouse,macOS,user,NSGlobalDomain,com.apple.mouse.scaling,float,3,Tracking speed for the Mouse
enabled,Mouse,macOS,user,NSGlobalDomain,com.apple.scrollwheel.scaling,float,1,Tracking speed for the Scrollwheel
,,,,,,,,
enabled,Sound,macOS,ByHost,com.apple.soundpref,AlertsUseMainDevice,int,0,"Play sound effect through:  0 = Internal Speakers,  1 = Selected sound output device"
enabled,Sound,macOS,user,NSGlobalDomain,com.apple.sound.uiaudio.enable,int,1,Play user interface sound effects
enabled,Sound,macOS,user,NSGlobalDomain,com.apple.sound.beep.feedback,int,1,Play feedback when volume is changed
,,,,,,,,
enabled,Safari & WebKit,macOS,user,com.apple.Safari,UniversalSearchEnabled,bool,FALSE,Privacy: don't send search queries to Apple
enabled,Safari & WebKit,macOS,user,com.apple.Safari,SuppressSearchSuggestions,bool,TRUE,Privacy: don't send search queries to Apple
enabled,Safari & WebKit,macOS,user,com.apple.Safari,ShowFullURLInSmartSearchField,bool,TRUE,Show the full URL in the address bar (note: this still hides the scheme)
enabled,Safari & WebKit,macOS,user,com.apple.Safari,HomePage,string,about:blank,Set Safari's home page to `about:blank` for faster loading
enabled,Safari & WebKit,macOS,user,com.apple.Safari,AutoOpenSafeDownloads,bool,FALSE,Prevent Safari from opening ‘safe' files automatically after downloading
enabled,Safari & WebKit,macOS,user,com.apple.Safari,com.apple.Safari.ContentPageGroupIdentifier.WebKit2BackspaceKeyNavigationEnabled,bool,TRUE,Allow hitting the Backspace key to go to the previous page in history
enabled,Safari & WebKit,macOS,user,com.apple.Safari,ShowSidebarInTopSites,bool,FALSE,Hide Safari's sidebar in Top Sites
enabled,Safari & WebKit,macOS,user,com.apple.Safari,FindOnPageMatchesWordStartsOnly,bool,FALSE,Make Safari's search banners default to Contains instead of Starts With
enabled,Safari & WebKit,macOS,user,com.apple.Safari,WebAutomaticSpellingCorrectionEnabled,bool,FALSE,Disable auto-correct
,,,,,,,,
disabled,Spotlight,macOS,system,/.Spotlight-V100/VolumeConfiguration,Exclusions,array,/Volumes,Disable Spotlight indexing for any volume that gets mounted and has not yet been indexed before. (No longer exists?)
,,,,,,,,
enabled,Time Machine,macOS,Library,com.apple.TimeMachine,DoNotOfferNewDisksForBackup,bool,TRUE,Do not offer to use new disks for Time Machine
,,,,,,,,
enabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,AutomaticCheckEnabled,bool,TRUE,Automatically check for updates
enabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,AutomaticDownload,bool,FALSE,Automatically download new updates when available
enabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,AutomaticallyInstallMacOSUpdates,bool,FALSE,Automatically install macOS updates
enabled,Software Updates,macOS,Library,com.apple.commerce,AutoUpdate,bool,FALSE,Automatically install app updates from the App Store
enabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,CriticalUpdateInstall,bool,FALSE,Automatically install system data files and security updates
enabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,ConfigDataInstall,bool,FALSE,Automatically install system data files and security updates
,,,,,,,,
disabled,Software Updates,macOS,Library,com.apple.SoftwareUpdate,ScheduleFrequency,int,1,"Check for software updates daily,  not just once per week"
disabled,Software Updates,macOS,Library,com.apple.commerce,AutoUpdateRestartRequired,bool,TRUE,Allow the App Store to reboot machine on macOS updates
,,,,,,,,
enabled,Bluetooth,macOS,Library,com.apple.Bluetooth,ControllerPowerState,int,1,Turn Bluetooth off
,,,,,,,,
enabled,Security & Privacy,macOS,system,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory.plist,AutoSubmit,bool,FALSE,Share Mac Analytics
enabled,Security & Privacy,macOS,system,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory.plist,AutoSubmitVersion,int,0,
enabled,Security & Privacy,macOS,system,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory.plist,ThirdPartyDataSubmit,bool,FALSE,Share with App Developers
enabled,Security & Privacy,macOS,system,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory.plist,ThirdPartyDataSubmitVersion,int,0,
,,,,,,,,
enabled,Siri,macOS,user,com.apple.assistant.support.plist,Assistant Enabled,bool,FALSE,
enabled,Siri,macOS,user,com.apple.assistant.support.plist,Dictation Enabled,bool,FALSE,
enabled,Siri,macOS,user,com.apple.Siri,StatusMenuVisible,bool,FALSE,
enabled,Siri,macOS,user,com.apple.Siri,UserHasDeclinedEnable,bool,TRUE,
,,,,,,,,
enabled,Misc,macOS,user,NSGlobalDomain,NSAutomaticSpellingCorrectionEnabled,bool,FALSE,Disable auto-correct
,,,,,,,,
,,,,,,,,
enabled,Remote Management,macOS,Library,com.apple.RemoteManagement.plist,LoadRemoteManagementMenuExtra,bool,TRUE,
,,,,,,,,
,,,,,,,,
enabled,Evernote,application,user,com.evernote.Evernote,ENLeftNavShowsNoteCounts,bool,TRUE,
disabled,Evernote,application,user,com.evernote.Evernote,SUEnableAutomaticChecks,bool,TRUE,
enabled,Evernote,application,user,com.evernote.Evernote,runHelperAtLogin,bool,FALSE,
